Package,Upload,List
Microsoft.Framework.CodeGenerators.Mvc,n,n
Microsoft.Framework.CommandLineUtils.Sources,n,n
Microsoft.Framework.Configuration,y,y
Microsoft.Framework.Configuration.Abstractions,y,y
Microsoft.Framework.Configuration.Binder,y,y
Microsoft.Framework.Configuration.CommandLine,y,y
Microsoft.Framework.Configuration.EnvironmentVariables,y,y
Microsoft.Framework.Configuration.Ini,y,y
Microsoft.Framework.Configuration.Json,y,y
Microsoft.Framework.Configuration.UserSecrets,y,y
Microsoft.Framework.Configuration.Xml,y,y
Microsoft.Framework.CopyOnWriteDictionary.Sources,n,n
Microsoft.Framework.DependencyInjection,y,y
Microsoft.Framework.DependencyInjection.Abstractions,y,y
Microsoft.Framework.DependencyInjection.Autofac,n,n
Microsoft.Framework.DependencyInjection.Ninject,n,n
Microsoft.Framework.DesignTimeHost,n,n
Microsoft.Framework.DesignTimeHost.Abstractions,y,y
Microsoft.Framework.FileSystemGlobbing,y,y
Microsoft.Framework.Globalization.CultureInfoCache,y,y
Microsoft.Framework.Localization,y,y
Microsoft.Framework.Localization.Abstractions,y,y
Microsoft.Framework.Logging,y,y
Microsoft.Framework.Logging.Abstractions,y,y
Microsoft.Framework.Logging.Console,y,y
Microsoft.Framework.Logging.NLog,n,n
Microsoft.Framework.Logging.Testing,n,n
Microsoft.Framework.Logging.TraceSource,y,y
Microsoft.Framework.NotNullAttribute.Sources,n,n
Microsoft.Framework.OptionsModel,y,y
Microsoft.Framework.PackageManager,n,n
Microsoft.Framework.Project,n,n
Microsoft.Framework.PropertyActivator.Sources,n,n
Microsoft.Framework.PropertyHelper.Sources,n,n
Microsoft.Framework.Runtime,y,y
Microsoft.Framework.Runtime.Abstractions,y,y
Microsoft.Framework.Runtime.Caching,y,y
Microsoft.Framework.Runtime.Compilation.DesignTime,n,n
Microsoft.Framework.Runtime.Loader,y,y
Microsoft.Framework.Runtime.Roslyn,y,y
Microsoft.Framework.Runtime.Roslyn.Abstractions,y,y
Microsoft.Framework.Runtime.Roslyn.Common,y,y
Microsoft.Framework.Runtime.Sources,n,n
Microsoft.Framework.TestAdapter,y,y
Microsoft.Framework.TestHost,y,y
Microsoft.Framework.TestHost.Client.Sources,n,n
Microsoft.Framework.TypeNameHelper.Sources,n,n
Microsoft.Framework.WebEncoders,y,y
Microsoft.Framework.WebEncoders.Core,y,y
Microsoft.Framework.WebEncoders.Testing,n,n
Microsoft.Net.Http.Headers,y,y
Microsoft.Net.Http.Server,y,y
Microsoft.Net.WebSockets,y,y
Microsoft.NETCore,n,n
Microsoft.NETCore.Console,n,n
Microsoft.NETCore.ConsoleHost-x64,n,n
