Package,Upload,List
Microsoft.Framework.DesignTimeHost.Abstractions,n,n
Microsoft.Framework.FileSystemGlobbing,n,n
Microsoft.Framework.Globalization.CultureInfoCache,n,n
Microsoft.Framework.Localization,n,n
Microsoft.Framework.Localization.Abstractions,n,n
Microsoft.Framework.Logging,n,n
Microsoft.Framework.Logging.Abstractions,n,n
Microsoft.Framework.Logging.Console,n,n
Microsoft.Framework.Logging.NLog,n,n
Microsoft.Framework.Logging.Testing,n,n
Microsoft.Framework.Logging.TraceSource,n,n
Microsoft.Framework.NotNullAttribute.Sources,n,n
Microsoft.Framework.OptionsModel,n,n
Microsoft.Framework.PackageManager,n,n
Microsoft.Framework.Project,n,n
Microsoft.Framework.PropertyActivator.Sources,n,n
Microsoft.Framework.PropertyHelper.Sources,n,n
Microsoft.Framework.Runtime,n,n
Microsoft.Framework.Runtime.Abstractions,n,n
Microsoft.Framework.Runtime.Caching,n,n
Microsoft.Framework.Runtime.Compilation.DesignTime,n,n
Microsoft.Framework.Runtime.Loader,n,n
Microsoft.Framework.Runtime.Roslyn,n,n
Microsoft.Framework.Runtime.Roslyn.Abstractions,n,n
Microsoft.Framework.Runtime.Roslyn.Common,n,n
Microsoft.Framework.Runtime.Sources,n,n
Microsoft.Framework.TestAdapter,n,n
Microsoft.Framework.TestHost,n,n
Microsoft.Framework.TestHost.Client.Sources,n,n
Microsoft.Framework.TypeNameHelper.Sources,n,n
Microsoft.Framework.WebEncoders,n,n
Microsoft.Framework.WebEncoders.Core,n,n
Microsoft.Framework.WebEncoders.Testing,n,n
Microsoft.Net.Http.Headers,n,n
Microsoft.Net.Http.Server,n,n
Microsoft.Net.WebSockets,n,n
Microsoft.NETCore,y,y
Microsoft.NETCore.Console,y,y
Microsoft.NETCore.ConsoleHost-x64,y,y
Microsoft.NETCore.ConsoleHost-x86,y,y
Microsoft.NETCore.Portable.Compatibility,y,y
Microsoft.NETCore.Runtime,y,y
Microsoft.NETCore.Runtime.CoreCLR-x64,y,y
Microsoft.NETCore.Runtime.CoreCLR-x86,y,y
Microsoft.NETCore.Runtime.Native,y,y
Microsoft.NETCore.Targets,y,y
Microsoft.NETCore.TestHost-x64,y,y
Microsoft.NETCore.TestHost-x86,y,y
Microsoft.NETCore.UniversalWindowsPlatform,y,y
Microsoft.NETCore.UWPHost-x64,y,y
Microsoft.NETCore.UWPHost-x86,y,y
Microsoft.NETCore.Windows.ApiSets-x64,y,y
Microsoft.NETCore.Windows.ApiSets-x86,y,y
Microsoft.VisualBasic,y,y
Microsoft.Win32.Primitives,y,y
Microsoft.Win32.Registry,y,y
Microsoft.Win32.Registry.AccessControl,y,y
PageGenerator,n,n
SecretManager,n,n
StyleCop.KRules,n,n
System.AppContext,y,y
System.Collections,y,y
System.Collections.Concurrent,y,y
System.Collections.NonGeneric,y,y
System.Collections.Specialized,y,y
System.ComponentModel,y,y
System.ComponentModel.Annotations,y,y
System.ComponentModel.EventBasedAsync,y,y
System.ComponentModel.Primitives,y,y
System.ComponentModel.TypeConverter,y,y
System.Console,y,y
System.Data.Common,y,y
System.Data.SqlClient,y,y
System.Data.SqlClient.sni-x64,y,y
System.Data.SqlClient.sni-x86,y,y
System.Diagnostics.Contracts,y,y
System.Diagnostics.Debug,y,y
System.Diagnostics.FileVersionInfo,y,y
System.Diagnostics.Process,y,y
System.Diagnostics.StackTrace,y,y
System.Diagnostics.TextWriterTraceListener,y,y
System.Diagnostics.Tools,y,y
System.Diagnostics.TraceSource,y,y
System.Diagnostics.Tracing,y,y
System.Dynamic.Runtime,y,y
System.Globalization,y,y
System.Globalization.Calendars,y,y
System.Globalization.Extensions,y,y
System.IO,y,y
System.IO.Compression,y,y
System.IO.Compression.clrcompression-x64,y,y
System.IO.Compression.clrcompression-x86,y,y
System.IO.Compression.ZipFile,y,y
System.IO.FileSystem,y,y
System.IO.FileSystem.AccessControl,y,y
System.IO.FileSystem.DriveInfo,y,y
System.IO.FileSystem.Primitives,y,y
System.IO.FileSystem.Watcher,y,y
System.IO.IsolatedStorage,y,y
System.IO.MemoryMappedFiles,y,y
System.IO.Pipes,y,y
System.IO.UnmanagedMemoryStream,y,y
System.Linq,y,y
System.Linq.Expressions,y,y
System.Linq.Parallel,y,y
System.Linq.Queryable,y,y
System.Net.Http,y,y
System.Net.Http.Rtc,y,y
System.Net.Http.WinHttpHandler,y,y
System.Net.NameResolution,y,y
System.Net.NetworkInformation,y,y
System.Net.Primitives,y,y
System.Net.Requests,y,y
System.Net.Security,y,y
System.Net.Sockets,y,y
System.Net.Utilities,y,y
System.Net.WebHeaderCollection,y,y
System.Net.WebSockets,y,y
System.Net.WebSockets.Client,y,y
System.Numerics.Vectors,y,y
System.ObjectModel,y,y
System.Private.DataContractSerialization,y,y
System.Private.Networking,y,y
System.Private.ServiceModel,y,y
System.Private.Uri,y,y
System.Reflection,y,y
System.Reflection.Context,y,y
System.Reflection.DispatchProxy,y,y
System.Reflection.Emit,y,y
System.Reflection.Emit.ILGeneration,y,y
System.Reflection.Emit.Lightweight,y,y
System.Reflection.Extensions,y,y
System.Reflection.Primitives,y,y
System.Reflection.TypeExtensions,y,y
System.Resources.ReaderWriter,y,y
System.Resources.ResourceManager,y,y
System.Runtime,y,y
System.Runtime.CompilerServices.VisualC,y,y
System.Runtime.Extensions,y,y
System.Runtime.Handles,y,y
System.Runtime.InteropServices,y,y
System.Runtime.InteropServices.WindowsRuntime,y,y
System.Runtime.Loader,y,y
System.Runtime.Numerics,y,y
System.Runtime.Serialization.Json,y,y
System.Runtime.Serialization.Primitives,y,y
System.Runtime.Serialization.Xml,y,y
System.Runtime.WindowsRuntime,y,y
System.Runtime.WindowsRuntime,y,y
System.Runtime.WindowsRuntime.UI.Xaml,y,y
System.Security.AccessControl,y,y
System.Security.Claims,y,y
System.Security.Cryptography.DeriveBytes,y,y
System.Security.Cryptography.Encoding,y,y
System.Security.Cryptography.Encryption,y,y
System.Security.Cryptography.Encryption.Aes,y,y
System.Security.Cryptography.Hashing,y,y
System.Security.Cryptography.Hashing.Algorithms,y,y
System.Security.Cryptography.RandomNumberGenerator,y,y
System.Security.Cryptography.RSA,y,y
System.Security.Cryptography.X509Certificates,y,y
System.Security.Principal,y,y
System.Security.Principal.Windows,y,y
System.Security.SecureString,y,y
System.ServiceModel.Duplex,y,y
System.ServiceModel.Http,y,y
System.ServiceModel.NetTcp,y,y
System.ServiceModel.Primitives,y,y
System.ServiceModel.Security,y,y
System.ServiceProcess.ServiceController,y,y
System.Text.Encoding,y,y
System.Text.Encoding.CodePages,y,y
System.Text.Encoding.Extensions,y,y
System.Text.RegularExpressions,y,y
System.Threading,y,y
System.Threading.AccessControl,y,y
System.Threading.Overlapped,y,y
System.Threading.Tasks,y,y
System.Threading.Tasks.Parallel,y,y
System.Threading.Thread,y,y
